"filename", "language", "C++", "Swift", "JSON", "XML", "Markdown", "YAML", "Python", "Shell Script", "Ruby", "comment", "blank", "total"
"/Users/constantine/Documents/work/code/projects/ZhiYu/Frameworks/WechatOpenSDK.xcframework/ios-arm64/WechatOpenSDK.framework/Headers/WechatOpenSDK.h", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 10
"/Users/constantine/Documents/work/code/projects/ZhiYu/Frameworks/WechatOpenSDK.xcframework/ios-arm64_x86_64-simulator/WechatOpenSDK.framework/Headers/WXApi.h", "C++", 167, 0, 0, 0, 0, 0, 0, 0, 0, 7, 58, 232
"/Users/constantine/Documents/work/code/projects/ZhiYu/Frameworks/WechatOpenSDK.xcframework/ios-arm64_x86_64-simulator/WechatOpenSDK.framework/Headers/WXApiObject.h", "C++", 1087, 0, 0, 0, 0, 0, 0, 0, 0, 7, 317, 1411
"/Users/constantine/Documents/work/code/projects/ZhiYu/Frameworks/WechatOpenSDK.xcframework/ios-arm64_x86_64-simulator/WechatOpenSDK.framework/Headers/WechatAuthSDK.h", "C++", 47, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 69
"/Users/constantine/Documents/work/code/projects/ZhiYu/Frameworks/WechatOpenSDK.xcframework/ios-arm64_x86_64-simulator/WechatOpenSDK.framework/Headers/WechatOpenSDK.h", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 10
"/Users/constantine/Documents/work/code/projects/ZhiYu/README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/App/AppWindowSceneDelegate.swift", "Swift", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/App/ContentView.swift", "Swift", 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 0, 28
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/App/ModuleRegistrar.swift", "Swift", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 5, 19
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/App/SidebarView.swift", "Swift", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/App/Views/AppLayoutComponents.swift", "Swift", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 4, 11
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/App/ZhiYuApp.swift", "Swift", 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 2, 15
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Assets.xcassets/GithubLogo.imageset/Contents.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Assets.xcassets/GithubLogo.imageset/github_logo.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Assets.xcassets/GoogleLogo.imageset/Contents.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Assets.xcassets/GoogleLogo.imageset/google_logo.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Assets.xcassets/WechatLogo.imageset/Contents.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Assets.xcassets/WechatLogo.imageset/wechat_logo.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Core/Base/Constants/AppConfig.swift", "Swift", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Core/Base/Constants/AppConstants.swift", "Swift", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 1, 8
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Core/Base/Protocols/AppStoreProtocol.swift", "Swift", 0, 38, 0, 0, 0, 0, 0, 0, 0, 24, 13, 75
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Core/Base/Protocols/RouterProtocol.swift", "Swift", 0, 31, 0, 0, 0, 0, 0, 0, 0, 27, 18, 76
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Core/Base/Utils/ZipUtility.swift", "Swift", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Core/System/Security/JailbreakDetector.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
